"name","year","quarter","month","sum"
"Chad",2014,4,"December",0
"Chad",2014,4,"November",0
"Chad",2014,4,"October",0
"Chad",2014,4,NULL,0
"Chad",2014,NULL,NULL,0
"Chad",2015,1,"February",0
"Chad",2015,1,"January",0
"Chad",2015,1,"March",0
"Chad",2015,1,NULL,0
"Chad",2015,2,"April",0
"Chad",2015,2,"June",0
"Chad",2015,2,"May",0
"Chad",2015,2,NULL,0
"Chad",2015,3,"August",0
"Chad",2015,3,"July",0
"Chad",2015,3,"September",0
"Chad",2015,3,NULL,0
"Chad",2015,4,"December",0
"Chad",2015,4,"November",0
"Chad",2015,4,"October",0
"Chad",2015,4,NULL,0
"Chad",2015,NULL,NULL,0
"Chad",2016,1,"February",0
"Chad",2016,1,"January",0
"Chad",2016,1,"March",0
"Chad",2016,1,NULL,0
"Chad",2016,2,"April",0
"Chad",2016,2,"June",0
"Chad",2016,2,"May",0
"Chad",2016,2,NULL,0
"Chad",2016,3,"August",0
"Chad",2016,3,"July",0
"Chad",2016,3,"September",0
"Chad",2016,3,NULL,0
"Chad",2016,4,"December",0
"Chad",2016,4,"November",0
"Chad",2016,4,"October",0
"Chad",2016,4,NULL,0
"Chad",2016,NULL,NULL,0
"Chad",2017,1,"February",0
"Chad",2017,1,"January",0
"Chad",2017,1,"March",0
"Chad",2017,1,NULL,0
"Chad",2017,2,"April",0
"Chad",2017,2,"June",0
"Chad",2017,2,"May",0
"Chad",2017,2,NULL,0
"Chad",2017,3,"August",0
"Chad",2017,3,"July",0
"Chad",2017,3,"September",0
"Chad",2017,3,NULL,0
"Chad",2017,4,"December",0
"Chad",2017,4,"November",0
"Chad",2017,4,"October",58.0
"Chad",2017,4,NULL,58.0
"Chad",2017,NULL,NULL,58.0
"Chad",2018,1,"February",0
"Chad",2018,1,"January",0
"Chad",2018,1,"March",0
"Chad",2018,1,NULL,0
"Chad",2018,2,"April",0
"Chad",2018,2,"June",0
"Chad",2018,2,"May",0
"Chad",2018,2,NULL,0
"Chad",2018,3,"August",0
"Chad",2018,3,"July",0
"Chad",2018,3,"September",0
"Chad",2018,3,NULL,0
"Chad",2018,4,"December",0
"Chad",2018,4,"November",0
"Chad",2018,4,"October",0
"Chad",2018,4,NULL,0
"Chad",2018,NULL,NULL,0
"Chad",2019,1,"February",0
"Chad",2019,1,"January",0
"Chad",2019,1,"March",0
"Chad",2019,1,NULL,0
"Chad",2019,2,"April",0
"Chad",2019,2,"June",0
"Chad",2019,2,"May",0
"Chad",2019,2,NULL,0
"Chad",2019,3,"August",0
"Chad",2019,3,"July",0
"Chad",2019,3,"September",52.0
"Chad",2019,3,NULL,52.0
"Chad",2019,4,"December",0
"Chad",2019,4,"November",0
"Chad",2019,4,"October",0
"Chad",2019,4,NULL,0
"Chad",2019,NULL,NULL,52.0
"Chad",2020,1,"February",0
"Chad",2020,1,"January",0
"Chad",2020,1,"March",0
"Chad",2020,1,NULL,0
"Chad",2020,2,"April",0
"Chad",2020,2,"June",0
"Chad",2020,2,"May",0
"Chad",2020,2,NULL,0
"Chad",2020,3,"August",0
"Chad",2020,3,"July",0
"Chad",2020,3,"September",0
"Chad",2020,3,NULL,0
"Chad",2020,4,"December",0
